Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Antimicrobial resistance	Not Applicable	florfenicol resistant breakpoint	florfenicol_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	florfenicol susceptible breakpoint	florfenicol_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	florfenicol testing standard	florfenicol_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	florfenicol testing standard details	florfenicol_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	florfenicol testing standard version	florfenicol_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	florfenicol vendor name	florfenicol_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	gentamicin intermediate breakpoint	gentamicin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	gentamicin laboratory typing method	gentamicin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	gentamicin laboratory typing platform	gentamicin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	gentamicin laboratory typing platform version	gentamicin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	gentamicin measurement	gentamicin_measurement		TRUE	The measured value of gentamicin resistance.	4
Antimicrobial resistance	Not Applicable	gentamicin measurement sign	gentamicin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	gentamicin measurement units	gentamicin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	gentamicin resistance phenotype	gentamicin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	gentamicin resistant breakpoint	gentamicin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	gentamicin susceptible breakpoint	gentamicin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	gentamicin testing standard	gentamicin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	gentamicin testing standard details	gentamicin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	gentamicin testing standard version	gentamicin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	gentamicin vendor name	gentamicin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	imipenem intermediate breakpoint	imipenem_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	imipenem laboratory typing method	imipenem_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	imipenem laboratory typing platform	imipenem_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	imipenem laboratory typing platform version	imipenem_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	imipenem measurement	imipenem_measurement		TRUE	The measured value of imipenem resistance.	4
Antimicrobial resistance	Not Applicable	imipenem measurement sign	imipenem_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	imipenem measurement units	imipenem_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	imipenem resistance phenotype	imipenem_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	imipenem resistant breakpoint	imipenem_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	imipenem susceptible breakpoint	imipenem_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	imipenem testing standard	imipenem_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	imipenem testing standard details	imipenem_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	imipenem testing standard version	imipenem_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	imipenem vendor name	imipenem_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	kanamycin intermediate breakpoint	kanamycin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	kanamycin laboratory typing method	kanamycin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	kanamycin laboratory typing platform	kanamycin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	kanamycin laboratory typing platform version	kanamycin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	kanamycin measurement	kanamycin_measurement		TRUE	The measured value of kanamycin resistance.	4
Antimicrobial resistance	Not Applicable	kanamycin measurement sign	kanamycin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	kanamycin measurement units	kanamycin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	kanamycin resistance phenotype	kanamycin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
